WeaponName: AK-47 Ext.
Damage: 20
ReloadSpeed: 2.5
ReloadQuickSpeed: 1.5
DeploySpeed: 0.7
DeployQuickSpeed: 0.3
CrosshairType: 0
Clip: 30
Clip2: 30
AmmoReserve: 150
AimingWeapon: 0
DotSightType: 0
SideBarAlpha: 0
Sound: sound/weapons/ak47-1.wav
PrimaryAttackTime1: 1
PrimaryAttackTime2: 1
SecondaryAttackTime1: 1
SecondaryAttackTime2: 1
HideCrosshairWhenZoomed: 0
HideViewmodelWhenZoomed: 0
AimPosition: 0 0 0
MuzzleFlashType: 1
MuzzleFlashScale: 0
WalkSpeed: 225
KickBack: 0.5 0.5 0.5 0.5 0.5 0.5 0.5
DamageTga: gfx/billflx/weapon_damage/wpdamage0.png
SightTga: None
BulletSpread: 0.01
ShootCycle: 0.08
HandPath: hand/ludf02/v_hand.mdl
WeaponTga: gfx/billflx/weapons/weapon_ak47.png
CrosshairTga: gfx/billflx/crosshair/crosshair_default.png
SightCrosshairTga: None
