// NOTE (v16): `weapon_ak47_fc` belum ada implementasi di `jni/dlls/wpn_shared` (v20-only). Jangan dipakai di `weapon_list` untuk v16.
WeaponName: AK47-F.C
Damage: 30
ReloadSpeed: 2.8
ReloadQuickSpeed: 1.5
DeploySpeed: 0.7
DeployQuickSpeed: 0.3
CrosshairType: 0
Clip: 45
Clip2: 1
AmmoReserve: 225
AimingWeapon: 1
DotSightType: 1
SideBarAlpha: 170
Sound: sound/weapons/ak_sopmod-1.wav
PrimaryAttackTime1: 1
PrimaryAttackTime2: 1
SecondaryAttackTime1: 1
SecondaryAttackTime2: 1
HideCrosshairWhenZoomed: 1
HideViewmodelWhenZoomed: 1
AimPosition: -4.2 1.5 -3
MuzzleFlashType: 9
MuzzleFlashScale: 0
WalkSpeed: 225
KickBack: 0.5 0.5 0.5 0.5 0.5 0.5 0.5
DamageTga: gfx/billflx/weapon_damage/wpdamage0.png
SightTga: gfx/billflx/newsight/acog.png
ZoomTarget: 55
BulletSpread: 0.01
ShootCycle: 0.1
ZoomInSound: sound/weapons/WM_AssaultScope_In.wav
ZoomOutSound: sound/weapons/WM_AssaultScope_Out.wav
WeaponTga: gfx/billflx/weapons/weapon_ak47_fc.png
CrosshairTga: gfx/billflx/crosshair/crosshair_default.png
SightCrosshairTga: gfx/billflx/crosshair/crosshair_laser.png
