WeaponName: AS-50
Damage: 200
ReloadSpeed: 3
ReloadQuickSpeed: 1.7
DeploySpeed: 0
DeployQuickSpeed: 1
CrosshairType: 3
Clip: 5
Clip2: 0
AmmoReserve: 30
AimingWeapon: 1
DotSightType: 3
SideBarAlpha: 255
Sound: sound/weapons/as50_zepetto_shoot1.wav
PrimaryAttackTime1: 1
PrimaryAttackTime2: 1
SecondaryAttackTime1: 1
SecondaryAttackTime2: 1
HideCrosshairWhenZoomed: 1
HideViewmodelWhenZoomed: 1
AimPosition: -6 1 7
MuzzleFlashType: 1
MuzzleFlashScale: 0
WalkSpeed: 220
KickBack: 2 0.5 2 0.5 0.5 0.5 0.5
DamageTga: gfx/billflx/weapon_damage/wpdamage0.tga
SightTga: gfx/sight/newsight/sniper.tga
ZoomTarget: 20
BulletSpread: 0.0
ShootCycle: 0.30
ZoomInSound: sound/weapons/WM_Scope_In.wav
ZoomOutSound: sound/weapons/WM_Scope_Out.wav
HandPath: hand/bahukirvar1/v_hand.mdl
