WeaponName: G36C Ext.
Damage: 20
ReloadSpeed: 3
ReloadQuickSpeed: 2
DeploySpeed: 0.7
DeployQuickSpeed: 0.3
CrosshairType: 1
Clip: 30
Clip2: 0
AmmoReserve: 150
AimingWeapon: 1
DotSightType: 1
SideBarAlpha: 170
Sound: sound/weapons/g36c-1.wav
PrimaryAttackTime1: 1
PrimaryAttackTime2: 1
SecondaryAttackTime1: 1
SecondaryAttackTime2: 1
HideCrosshairWhenZoomed: 1
HideViewmodelWhenZoomed: 1
AimPosition: -4 1.5 -3
MuzzleFlashType: 4
MuzzleFlashScale: 0
WalkSpeed: 225
KickBack: 0.5 0.5 0.5 0.5 0.5 0.5 0.5
DamageTga: gfx/billflx/weapon_damage/wpdamage0.png
SightTga: gfx/billflx/newsight/acog.png
ZoomTarget: 55
BulletSpread: 0.01
ShootCycle: 0.08
ZoomInSound: sound/weapons/WM_AssaultScope_In.wav
ZoomOutSound: sound/weapons/WM_AssaultScope_Out.wav
HandPath: hand/lefthand02/v_hand.mdl
WeaponTga: gfx/billflx/weapons/weapon_g36c.png
CrosshairTga: gfx/billflx/crosshair/crosshair_laser.png
SightCrosshairTga: gfx/billflx/crosshair/crosshair_laser.png
