WeaponName: Groza
Damage: 25
ReloadSpeed: 2.3
ReloadQuickSpeed: 1.3
DeploySpeed: 0.7
DeployQuickSpeed: 0.3
CrosshairType: 1
Clip: 30
Clip2: 0
AmmoReserve: 150
AimingWeapon: 1
DotSightType: 1
SideBarAlpha: 0
Sound: sound/weapons/groza-1.wav
PrimaryAttackTime1: 1
PrimaryAttackTime2: 1
SecondaryAttackTime1: 1
SecondaryAttackTime2: 1
HideCrosshairWhenZoomed: 1
HideViewmodelWhenZoomed: 1
AimPosition: -4.57 1.5 -3
MuzzleFlashType: 5
MuzzleFlashScale: 0
WalkSpeed: 225
KickBack: 0.5 0.5 0.5 0.5 0.5 0.5 0.5
DamageTga: gfx/billflx/weapon_damage/wpdamage0.png
SightTga: gfx/billflx/newsight/dotsight.png
ZoomTarget: 55
BulletSpread: 0.01
ShootCycle: 0.14
ZoomInSound: sound/weapons/zoom_generic_in.wav
ZoomOutSound: sound/weapons/zoom_generic_out.wav
HandPath: hand/bahukir/v_hand.mdl
WeaponTga: gfx/billflx/weapons/weapon_groza.png
CrosshairTga: gfx/billflx/crosshair/crosshair_laser.png
SightCrosshairTga: gfx/billflx/crosshair/crosshair_laser.png
