WeaponName: Kar98k
Damage: 150
ReloadSpeed: 0.55
ReloadQuickSpeed: 0.35
DeploySpeed: 0.8
DeployQuickSpeed: 0.3
CrosshairType: 3
Clip: 8
Clip2: 0
AmmoReserve: 30
AimingWeapon: 1
DotSightType: 3
SideBarAlpha: 255
Sound: sound/weapons/kar98k-1.wav
PrimaryAttackTime1: 1
PrimaryAttackTime2: 1
SecondaryAttackTime1: 1
SecondaryAttackTime2: 1
HideCrosshairWhenZoomed: 1
HideViewmodelWhenZoomed: 1
AimPosition: -5.3 1 7
MuzzleFlashType: 1
MuzzleFlashScale: 0
WalkSpeed: 225
KickBack: 1 0.5 2 0.5 0.5 0.5 0.5
DamageTga: gfx/billflx/weapon_damage/wpdamage0.tga
SightTga: gfx/sight/newsight/sks.tga
ZoomTarget: 20
BulletSpread: 0.0
ShootCycle: 1.4
ZoomInSound: sound/weapons/WM_Scope_In.wav
ZoomOutSound: sound/weapons/WM_Scope_Out.wavv
