WeaponName: M4A1 S
Damage: 20
ReloadSpeed: 3
ReloadQuickSpeed: 1
DeploySpeed: 0.7
DeployQuickSpeed: 0.3
CrosshairType: 0
Clip: 45
Clip2: 0
AmmoReserve: 225
AimingWeapon: 1
DotSightType: 3
SideBarAlpha: 170
Sound: sound/weapons/m4a1_s-1.wav
PrimaryAttackTime1: 1
PrimaryAttackTime2: 1
SecondaryAttackTime1: 1
SecondaryAttackTime2: 1
HideCrosshairWhenZoomed: 1
HideViewmodelWhenZoomed: 1
AimPosition: -4.6 1 -8
MuzzleFlashType: 9
MuzzleFlashScale: 0
WalkSpeed: 225
KickBack: 0.5 0.5 0.5 0.5 0.5 0.5 0.5
DamageTga: gfx/billflx/weapon_damage/wpdamage0.tga
WeaponTga: gfx/billflx/weapons/weapon_m4a1_s.png
SightTga: gfx/sight/newsight/acog+.tga
ZoomTarget: 55
BulletSpread: 0.01
ShootCycle: 0.08
ZoomInSound: sound/weapons/WM_AssaultScope_In.wav
ZoomOutSound: sound/weapons/WM_AssaultScope_Out.wav
HandPath: hand/ludf02/v_hand.mdl
