// NOTE (v16): file ini bernama `weapon_tar.txt`, tapi weapon yang ada di v16 adalah `weapon_tar21` (lihat `wpn_tar21.cpp`).
// Saran: pakai ID `weapon_tar21` di `weapon_list` / `pbbuy`.
WeaponName: TAR21
Damage: 25
ReloadSpeed: 2.3
ReloadQuickSpeed: 1.3
DeploySpeed: 0.7
DeployQuickSpeed: 0.4
CrosshairType: 0
Clip: 30
Clip2: 0
AmmoReserve: 150
AimingWeapon: 1
DotSightType: 2
SideBarAlpha: 0
Sound: sound/weapons/tar21-1.wav
PrimaryAttackTime1: 1
PrimaryAttackTime2: 1
SecondaryAttackTime1: 1
SecondaryAttackTime2: 1
HideCrosshairWhenZoomed: 1
HideViewmodelWhenZoomed: 1
AimPosition: -4.6 0.6 3
MuzzleFlashType: 4
MuzzleFlashScale: 0
WalkSpeed: 225
KickBack: 0.5 0.5 0.5 0.5 0.5 0.5 0.5
DamageTga: gfx/billflx/weapon_damage/wpdamage0.png
SightTga: gfx/billflx/newsight/eotech.png
ZoomTarget: 55
BulletSpread: 0.01
ShootCycle: 0.08
ZoomInSound: sound/weapons/WM_AssaultScope_In.wav
ZoomOutSound: sound/weapons/WM_AssaultScope_Out.wav
HandPath: hand/bahukir/v_hand.mdl
WeaponTga: gfx/billflx/weapons/weapon_tar.png
CrosshairTga: gfx/billflx/crosshair/crosshair_default.png
SightCrosshairTga: gfx/billflx/crosshair/crosshair_eotech.png
