WeaponName: R.B454 SS8M+S 
Damage: 80
ReloadSpeed: 2.7
ReloadQuickSpeed: 1.7
DeploySpeed: 0.8
DeployQuickSpeed: 0.3
CrosshairType: 0
Clip: 5
Clip2: 0
AmmoReserve: 25
AimingWeapon: 1
DotSightType: 3
SideBarAlpha: 255
Sound: sound/weapons/taurus_raging_bull-1.wav
PrimaryAttackTime1: 1
PrimaryAttackTime2: 1
SecondaryAttackTime1: 1
SecondaryAttackTime2: 1
HideCrosshairWhenZoomed: 1
HideViewmodelWhenZoomed: 1
AimPosition: -4 -2 7
MuzzleFlashType: 1
MuzzleFlashScale: 0
WalkSpeed: 225
KickBack: 2 0.5 2 0.5 0.5 0.5 0.5
DamageTga: gfx/billflx/weapon_damage/wpdamage0.tga
SightTga: gfx/sight/newsight/sniper.tga
ZoomTarget: 30
BulletSpread: 0.0
ShootCycle: 2.5
ZoomInSound: sound/weapons/WM_Scope_In.wav
ZoomOutSound: sound/weapons/WM_Scope_Out.wav
HandPath: hand/bahukir/v_hand.mdl
