WeaponName: FG-42
Damage: 45
ReloadSpeed: 2
ReloadQuickSpeed: 1
DeploySpeed: 0.5
DeployQuickSpeed: 0.3
CrosshairType: 0
Clip: 20
Clip2: 0
AmmoReserve: 100
AimingWeapon: 0
DotSightType: 0
SideBarAlpha: 0
Sound: sound/weapons/fg42-1.wav
PrimaryAttackTime1: 1
PrimaryAttackTime2: 1
SecondaryAttackTime1: 1
SecondaryAttackTime2: 1
HideCrosshairWhenZoomed: 0
HideViewmodelWhenZoomed: 0
AimPosition: 0 0 0
MuzzleFlashType: 1
MuzzleFlashScale: 0
WalkSpeed: 230
KickBack: 1 0.5 1 0.5 0.7 0.5 0.5
DamageTga: gfx/billflx/weapon_damage/wpdamage0.tga
SightTga: gfx/sight/newsight/null.tga
ZoomTarget: 60
BulletSpread: 0.02
ShootCycle: 0.1
ZoomInSound: sound/weapons/WM_Zoom_In.wav
ZoomOutSound: sound/weapons/WM_Zoom_Out.wav
HandPath: hand/bahukir/v_hand.mdl
