WeaponName: 870MCS T
Damage: 1030
ReloadSpeed: 2.5
ReloadQuickSpeed: 0.35
DeploySpeed: 0.6
DeployQuickSpeed: 0.3
CrosshairType: 0
Clip: 8
Clip2: 0
AmmoReserve: 24
AimingWeapon: 0
DotSightType: 0
SideBarAlpha: 0
Sound: sound/weapons/870mcs-1.wav
PrimaryAttackTime1: 1
PrimaryAttackTime2: 1
SecondaryAttackTime1: 1
SecondaryAttackTime2: 1
HideCrosshairWhenZoomed: 0
HideViewmodelWhenZoomed: 0
AimPosition: 0 0 0
MuzzleFlashType: 1
MuzzleFlashScale: 0
WalkSpeed: 225
KickBack: 1 0.5 2 0.5 0.5 0.5 0.5
DamageTga: gfx/billflx/weapon_damage/wpdamage0.tga
WeaponTga: materials/pb/weapons/870mcs.tga
SightTga: gfx/sight/newsight/null.tga
ZoomTarget: 60
BulletSpread: 0.3
ShootCycle: 0.08
ZoomInSound: sound/weapons/zoom_generic_in.wav
ZoomOutSound: sound/weapons/zoom_generic_out.wav
HandPath: hand/lefthand02/v_hand.mdl
