WeaponName: M4 CQB LV1
Damage: 25
ReloadSpeed: 3.3
ReloadQuickSpeed: 1.3
DeploySpeed: 0.7
DeployQuickSpeed: 0.5
CrosshairType: 0
Clip: 30
Clip2: 0
AmmoReserve: 280
AimingWeapon: 1
DotSightType: 0
SideBarAlpha: 0
Sound: sound/weapons/m4_cqb-r_lv1-1.wav
PrimaryAttackTime1: 1
PrimaryAttackTime2: 1
SecondaryAttackTime1: 1
SecondaryAttackTime2: 1
HideCrosshairWhenZoomed: 1
HideViewmodelWhenZoomed: 0
AimPosition: -4.4 1.1 -2
MuzzleFlashType: 4
MuzzleFlashScale: 0
WalkSpeed: 230
KickBack: 0.5 0.5 0.5 0.5 0.5 0.5 0.5
DamageTga: gfx/billflx/weapon_damage/wpdamage0.tga
WeaponTga: gfx/billflx/weapons/weapon_m4_cqb_lv1.png
SightTga: gfx/sight/newsight/null.tga
ZoomTarget: 55
BulletSpread: 0.01
ShootCycle: 0.08
ZoomInSound: sound/weapons/WM_Zoom_In.wav
ZoomOutSound: sound/weapons/WM_Zoom_Out.wav
HandPath: hand/ludf02/v_hand.mdl
