WeaponName: M4 SPR LV1
Damage: 32
ReloadSpeed: 3.3
ReloadQuickSpeed: 1.3
DeploySpeed: 0.8
DeployQuickSpeed: 0.3
CrosshairType: 0
Clip: 20
Clip2: 0
AmmoReserve: 80
AimingWeapon: 1
DotSightType: 3
SideBarAlpha: 255
Sound: sound/weapons/m4_spr_lv1-1.wav
PrimaryAttackTime1: 1
PrimaryAttackTime2: 1
SecondaryAttackTime1: 1
SecondaryAttackTime2: 1
HideCrosshairWhenZoomed: 1
HideViewmodelWhenZoomed: 1
AimPosition: -4.4 0.9 -2
MuzzleFlashType: 4
MuzzleFlashScale: 0
WalkSpeed: 225
KickBack: 1 0.5 2 0.5 0.5 0.5 0.5
DamageTga: gfx/billflx/weapon_damage/wpdamage0.tga
WeaponTga: gfx/billflx/weapons/weapon_m4_spr_lv1.png
SightTga: gfx/sight/newsight/sniper.tga
ZoomTarget: 20
BulletSpread: 0.0
ShootCycle: 0.25
ZoomInSound: sound/weapons/WM_Scope_In.wav
ZoomOutSound: sound/weapons/WM_Scope_Out.wav
HandPath: hand/ludf02/v_hand.mdl
