WeaponName: MP5k Ext.
Damage: 20
ReloadSpeed: 2.5
ReloadQuickSpeed: 1.5
DeploySpeed: 0.7
DeployQuickSpeed: 0.3
CrosshairType: 0
Clip: 30
Clip2: 0
AmmoReserve: 210
AimingWeapon: 0
DotSightType: 0
SideBarAlpha: 0
Sound: sound/weapons/m4a1-1.wav
PrimaryAttackTime1: 1
PrimaryAttackTime2: 1
SecondaryAttackTime1: 1
SecondaryAttackTime2: 1
HideCrosshairWhenZoomed: 0
HideViewmodelWhenZoomed: 0
AimPosition: -4.6 1 -8
MuzzleFlashType: 0
MuzzleFlashScale: 0
WalkSpeed: 225
KickBack: 0.5 0.5 0.5 0.5 0.5 0.5 0.5
DamageTga: gfx/billflx/weapon_damage/wpdamage0.tga
WeaponTga: materials/pb/weapons/m4a1 s.tga
SightTga: gfx/sight/newsight/acog+.tga
ZoomTarget: 55
BulletSpread: 0.01
ShootCycle: 0.08
ZoomInSound: sound/weapons/mp5k-1.wav
ZoomOutSound: sound/weapons/mp5k_sil-1.wav
HandPath: hand/lefthand02/v_hand.mdl
