WeaponName: Mp7 Ext.
Damage: 25
ReloadSpeed: 2.3
ReloadQuickSpeed: 1.3
DeploySpeed: 0.7
DeployQuickSpeed: 0.4
CrosshairType: 0
Clip: 30
Clip2: 0
AmmoReserve: 210
AimingWeapon: 1
DotSightType: 2
SideBarAlpha: 0
Sound: sound/weapons/mp7-1.wav
PrimaryAttackTime1: 1
PrimaryAttackTime2: 1
SecondaryAttackTime1: 1
SecondaryAttackTime2: 1
HideCrosshairWhenZoomed: 1
HideViewmodelWhenZoomed: 1
AimPosition: -3.5 0.6 3
MuzzleFlashType: 7
MuzzleFlashScale: 0
WalkSpeed: 225
KickBack: 0.5 0.5 0.5 0.5 0.5 0.5 0.5
DamageTga: gfx/billflx/weapon_damage/wpdamage0.tga
WeaponTga: materials/pb/weapons/mp7.tga
SightTga: gfx/sight/newsight/eotech.tga
ZoomTarget: 55
BulletSpread: 0.01
ShootCycle: 0.08
ZoomInSound: sound/weapons/WM_AssaultScope_In.wav
ZoomOutSound: sound/weapons/WM_AssaultScope_Out.wav
HandPath: hand/lefthand02/v_hand.mdl
