WeaponName: P90 Ext.
Damage: 25
ReloadSpeed: 2.5
ReloadQuickSpeed: 1.3
DeploySpeed: 0.7
DeployQuickSpeed: 0.4
CrosshairType: 1
Clip: 50
Clip2: 0
AmmoReserve: 200
AimingWeapon: 1
DotSightType: 1
SideBarAlpha: 0
Sound: sound/weapons/p90-1.wav
PrimaryAttackTime1: 1
PrimaryAttackTime2: 1
SecondaryAttackTime1: 1
SecondaryAttackTime2: 1
HideCrosshairWhenZoomed: 1
HideViewmodelWhenZoomed: 1
AimPosition: -3.9 1 5
MuzzleFlashType: 1
MuzzleFlashScale: 0
WalkSpeed: 225
KickBack: 0.5 0.5 0.5 0.5 0.5 0.5 0.5
DamageTga: gfx/billflx/weapon_damage/wpdamage0.tga
SightTga: gfx/sight/newsight/dotsight.tga
ZoomTarget: 55
BulletSpread: 0.01
ShootCycle: 0.08
ZoomInSound: sound/weapons/WM_AssaultScope_In.wav
ZoomOutSound: sound/weapons/WM_AssaultScope_Out.wav
HandPath: hand/bahukir/v_hand.mdl
