WeaponName: K-5
Damage: 34
ReloadSpeed: 2.3
ReloadQuickSpeed: 1.2
DeploySpeed: 0.5
DeployQuickSpeed: 0.3
CrosshairType: 0
Clip: 12
Clip2: 0
AmmoReserve: 82
AimingWeapon: 0
DotSightType: 0
SideBarAlpha: 0
Sound: sound/weapons/k5-1.wav
PrimaryAttackTime1: 1
PrimaryAttackTime2: 1
SecondaryAttackTime1: 1
SecondaryAttackTime2: 1
HideCrosshairWhenZoomed: 0
HideViewmodelWhenZoomed: 0
AimPosition: 0 0 0
MuzzleFlashType: 1
MuzzleFlashScale: 0
WalkSpeed: 230
KickBack: 0.5 0.5 0.5 0.5 0.5 0.5 0.5
DamageTga: gfx/billflx/weapon_damage/wpdamage0.tga
WeaponTga: materials/pb/weapons/k5.tga
SightTga: gfx/billflx/null.tga
ZoomTarget: 60
BulletSpread: 0.01
ShootCycle: 0.2
ZoomInSound: sound/weapons/zoom_generic_in.wav
ZoomOutSound: sound/weapons/zoom_generic_out.wav
HandPath: hand/lefthand02/v_hand.mdl
